1.08072E-11	0.00000E+00
1.25521E-11	0.00000E+00
1.45786E-11	0.00000E+00
1.69323E-11	0.00000E+00
1.96660E-11	0.00000E+00
2.28410E-11	0.00000E+00
2.65286E-11	0.00000E+00
3.08116E-11	0.00000E+00
3.57861E-11	0.00000E+00
4.15638E-11	0.00000E+00
4.82742E-11	0.00000E+00
5.60680E-11	0.00000E+00
6.51201E-11	0.00000E+00
7.56336E-11	0.00000E+00
8.78446E-11	0.00000E+00
1.02027E-10	0.00000E+00
1.18499E-10	0.00000E+00
1.37631E-10	0.00000E+00
1.59851E-10	0.00000E+00
1.85659E-10	0.00000E+00
2.15633E-10	0.00000E+00
2.50447E-10	2.67961E+04
2.90881E-10	0.00000E+00
3.37843E-10	0.00000E+00
3.92387E-10	0.00000E+00
4.55738E-10	0.00000E+00
5.29316E-10	1.59855E+04
6.14773E-10	0.00000E+00
7.14028E-10	2.44018E+04
8.29306E-10	3.31714E+04
9.63197E-10	3.61576E+04
1.11870E-09	1.84822E+04
1.29932E-09	1.15544E+04
1.50909E-09	2.66444E+04
1.75273E-09	4.79195E+04
2.03571E-09	5.21683E+04
2.36437E-09	5.58589E+04
2.74609E-09	8.48565E+04
3.18944E-09	6.19728E+04
3.70438E-09	1.06215E+05
4.30244E-09	8.70795E+04
4.99707E-09	1.07672E+05
5.80384E-09	1.25090E+05
6.74086E-09	1.56930E+05
7.82916E-09	1.78396E+05
9.09317E-09	1.89529E+05
1.05612E-08	2.14223E+05
1.22663E-08	2.23787E+05
1.42467E-08	2.46422E+05
1.65468E-08	2.60242E+05
1.92183E-08	2.79323E+05
2.23211E-08	2.85992E+05
2.59248E-08	2.93185E+05
3.01103E-08	2.98402E+05
3.49716E-08	2.85513E+05
4.06177E-08	2.87428E+05
4.71754E-08	2.54041E+05
5.47917E-08	2.19760E+05
6.36378E-08	1.81920E+05
7.39120E-08	1.49331E+05
8.58450E-08	1.15154E+05
9.97046E-08	8.08703E+04
1.15802E-07	4.90348E+04
1.34498E-07	3.12328E+04
1.56212E-07	1.73982E+04
1.81433E-07	8.60434E+03
2.10725E-07	4.52502E+03
2.44746E-07	2.64162E+03
2.84260E-07	2.37679E+03
3.30153E-07	1.45613E+03
3.83456E-07	1.21648E+03
4.45364E-07	8.40389E+02
5.17268E-07	7.28749E+02
6.00780E-07	6.42325E+02
6.97775E-07	5.14809E+02
8.10429E-07	4.72173E+02
9.41272E-07	3.71481E+02
1.09324E-06	2.90169E+02
1.26974E-06	3.63384E+02
1.47474E-06	1.84549E+02
1.71283E-06	1.89722E+02
1.98937E-06	1.50454E+02
2.31055E-06	1.17602E+02
2.68358E-06	1.20616E+02
3.11685E-06	1.28812E+02
3.62006E-06	8.55974E+01
4.20451E-06	8.00853E+01
4.88332E-06	6.04458E+01
5.67173E-06	4.38474E+01
6.58742E-06	4.47866E+01
7.65095E-06	4.03517E+01
8.88618E-06	4.70286E+01
1.03208E-05	3.11395E+01
