8.9125E-10	1.1220E-09	1.0066E-09
1.1220E-09	1.4125E-09	1.2673E-09
1.4125E-09	1.7783E-09	1.5954E-09
1.7783E-09	2.2387E-09	2.0085E-09
2.2387E-09	2.8184E-09	2.5286E-09
2.8184E-09	3.5481E-09	3.1833E-09
3.5481E-09	4.4668E-09	4.0075E-09
4.4668E-09	5.6234E-09	5.0451E-09
5.6234E-09	7.0795E-09	6.3514E-09
7.0795E-09	8.9125E-09	7.9960E-09
8.9125E-09	1.1220E-08	1.0066E-08
1.1220E-08	1.4125E-08	1.2673E-08
1.4125E-08	1.7783E-08	1.5954E-08
1.7783E-08	2.2387E-08	2.0085E-08
2.2387E-08	2.8184E-08	2.5286E-08
2.8184E-08	3.5481E-08	3.1833E-08
3.5481E-08	4.4668E-08	4.0075E-08
4.4668E-08	5.6234E-08	5.0451E-08
5.6234E-08	7.0795E-08	6.3514E-08
7.0795E-08	8.9125E-08	7.9960E-08
8.9125E-08	1.1220E-07	1.0066E-07
1.1220E-07	1.4125E-07	1.2673E-07
1.4125E-07	1.7783E-07	1.5954E-07
1.7783E-07	2.2387E-07	2.0085E-07
2.2387E-07	2.8184E-07	2.5286E-07
2.8184E-07	3.5481E-07	3.1833E-07
3.5481E-07	4.4668E-07	4.0075E-07
4.4668E-07	5.6234E-07	5.0451E-07
5.6234E-07	7.0795E-07	6.3514E-07
7.0795E-07	8.9125E-07	7.9960E-07
8.9125E-07	1.1220E-06	1.0066E-06
1.1220E-06	1.4125E-06	1.2673E-06
1.4125E-06	1.7783E-06	1.5954E-06
1.7783E-06	2.2387E-06	2.0085E-06
2.2387E-06	2.8184E-06	2.5286E-06
2.8184E-06	3.5481E-06	3.1833E-06
3.5481E-06	4.4668E-06	4.0075E-06
4.4668E-06	5.6234E-06	5.0451E-06
5.6234E-06	7.0795E-06	6.3514E-06
7.0795E-06	8.9125E-06	7.9960E-06
8.9125E-06	1.1220E-05	1.0066E-05
1.1220E-05	1.4125E-05	1.2673E-05
1.4125E-05	1.7783E-05	1.5954E-05
1.7783E-05	2.2387E-05	2.0085E-05
2.2387E-05	2.8184E-05	2.5286E-05
2.8184E-05	3.5481E-05	3.1833E-05
3.5481E-05	4.4668E-05	4.0075E-05
4.4668E-05	5.6234E-05	5.0451E-05
5.6234E-05	7.0795E-05	6.3514E-05
7.0795E-05	8.9125E-05	7.9960E-05
8.9125E-05	1.1220E-04	1.0066E-04
1.1220E-04	1.4125E-04	1.2673E-04
1.4125E-04	1.7783E-04	1.5954E-04
1.7783E-04	2.2387E-04	2.0085E-04
2.2387E-04	2.8184E-04	2.5286E-04
2.8184E-04	3.5481E-04	3.1833E-04
3.5481E-04	4.4668E-04	4.0075E-04
4.4668E-04	5.6234E-04	5.0451E-04
5.6234E-04	7.0795E-04	6.3514E-04
7.0795E-04	8.9125E-04	7.9960E-04
8.9125E-04	1.1220E-03	1.0066E-03
1.1220E-03	1.4125E-03	1.2673E-03
1.4125E-03	1.7783E-03	1.5954E-03
1.7783E-03	2.2387E-03	2.0085E-03
2.2387E-03	2.8184E-03	2.5286E-03
2.8184E-03	3.5481E-03	3.1833E-03
3.5481E-03	4.4668E-03	4.0075E-03
4.4668E-03	5.6234E-03	5.0451E-03
5.6234E-03	7.0795E-03	6.3514E-03
7.0795E-03	8.9125E-03	7.9960E-03
8.9125E-03	1.1220E-02	1.0066E-02
1.1220E-02	1.4125E-02	1.2673E-02
1.4125E-02	1.7783E-02	1.5954E-02
1.7783E-02	2.2387E-02	2.0085E-02
2.2387E-02	2.8184E-02	2.5286E-02
2.8184E-02	3.5481E-02	3.1833E-02
3.5481E-02	4.4668E-02	4.0075E-02
4.4668E-02	5.6234E-02	5.0451E-02
5.6234E-02	7.0795E-02	6.3514E-02
7.0795E-02	8.9125E-02	7.9960E-02
8.9125E-02	1.1220E-01	1.0066E-01
1.1220E-01	1.4125E-01	1.2673E-01
1.4125E-01	1.7783E-01	1.5954E-01
1.7783E-01	2.2387E-01	2.0085E-01
2.2387E-01	2.8184E-01	2.5286E-01
2.8184E-01	3.5481E-01	3.1833E-01
3.5481E-01	4.4668E-01	4.0075E-01
4.4668E-01	5.6234E-01	5.0451E-01
5.6234E-01	7.0795E-01	6.3514E-01
7.0795E-01	8.9125E-01	7.9960E-01
8.9125E-01	1.1220E+00	1.0066E+00
1.1220E+00	1.4125E+00	1.2673E+00
1.4125E+00	1.7783E+00	1.5954E+00
1.7783E+00	2.2387E+00	2.0085E+00
2.2387E+00	2.8184E+00	2.5286E+00
2.8184E+00	3.5481E+00	3.1833E+00
3.5481E+00	4.4668E+00	4.0075E+00
4.4668E+00	5.6234E+00	5.0451E+00
5.6234E+00	7.0795E+00	6.3514E+00
7.0795E+00	8.9125E+00	7.9960E+00
8.9125E+00	1.1220E+01	1.0066E+01
1.1220E+01	1.4125E+01	1.2673E+01
1.4125E+01	1.7783E+01	1.5954E+01
1.7783E+01	2.2387E+01	2.0085E+01
