6.2990E+00	9.0750E-01	0.0000E+00	5.8017E-01	4.8562E-01	4.0613E-01	3.3703E-01	2.7788E-01	1.8260E-01	1.1797E-01	7.4390E-02	2.8360E-02	1.0462E-02
6.2390E+00	9.2334E-01	0.0000E+00	5.9019E-01	4.9304E-01	4.1400E-01	3.4217E-01	2.8065E-01	1.8555E-01	1.2033E-01	7.6133E-02	2.8834E-02	1.0672E-02
6.1243E+00	9.4481E-01	0.0000E+00	6.0344E-01	5.0489E-01	4.2233E-01	3.4906E-01	2.8771E-01	1.8847E-01	1.2168E-01	7.6977E-02	2.9100E-02	1.0879E-02
5.9940E+00	9.6942E-01	0.0000E+00	6.1701E-01	5.1648E-01	4.3119E-01	3.5606E-01	2.9299E-01	1.9470E-01	1.2454E-01	7.8129E-02	2.9973E-02	1.1118E-02
5.8262E+00	9.9996E-01	0.0000E+00	6.3303E-01	5.3067E-01	4.4064E-01	3.6545E-01	3.0171E-01	1.9795E-01	1.2794E-01	8.0344E-02	3.0972E-02	1.1505E-02
5.6298E+00	1.0331E+00	0.0000E+00	6.4809E-01	5.4331E-01	4.5427E-01	3.7615E-01	3.0864E-01	2.0481E-01	1.3202E-01	8.3383E-02	3.1864E-02	1.1704E-02
5.4079E+00	1.0738E+00	0.0000E+00	6.7469E-01	5.6170E-01	4.6792E-01	3.8862E-01	3.1919E-01	2.1124E-01	1.3608E-01	8.5520E-02	3.2692E-02	1.2160E-02
5.1647E+00	1.1232E+00	0.0000E+00	7.0241E-01	5.8798E-01	4.8872E-01	4.0323E-01	3.3168E-01	2.1902E-01	1.4179E-01	8.9462E-02	3.4103E-02	1.2298E-02
4.9102E+00	1.1806E+00	0.0000E+00	7.3633E-01	6.1271E-01	5.1258E-01	4.2503E-01	3.4901E-01	2.2914E-01	1.4834E-01	9.3735E-02	3.5622E-02	1.3228E-02
4.6359E+00	1.2441E+00	0.0000E+00	7.7205E-01	6.4434E-01	5.3761E-01	4.4653E-01	3.6555E-01	2.4205E-01	1.5584E-01	9.9013E-02	3.7422E-02	1.3897E-02
4.3634E+00	1.3210E+00	0.0000E+00	8.1849E-01	6.8347E-01	5.6987E-01	4.6927E-01	3.8682E-01	2.5547E-01	1.6419E-01	1.0445E-01	3.9854E-02	1.4697E-02
4.0903E+00	1.3994E+00	0.0000E+00	8.6900E-01	7.2459E-01	6.0189E-01	4.9693E-01	4.0836E-01	2.6945E-01	1.7305E-01	1.0960E-01	4.1935E-02	1.5542E-02
3.8087E+00	1.4733E+00	0.0000E+00	9.1746E-01	7.6442E-01	6.3494E-01	5.2442E-01	4.3113E-01	2.8424E-01	1.8361E-01	1.1589E-01	4.4670E-02	1.6127E-02
3.5346E+00	1.5464E+00	0.0000E+00	9.7031E-01	8.0401E-01	6.6961E-01	5.5404E-01	4.5616E-01	3.0018E-01	1.9377E-01	1.2260E-01	4.6840E-02	1.7028E-02
3.2674E+00	1.6220E+00	0.0000E+00	1.0212E+00	8.5157E-01	7.0990E-01	5.8647E-01	4.8133E-01	3.1562E-01	2.0384E-01	1.2914E-01	4.9301E-02	1.8036E-02
3.0098E+00	1.6959E+00	0.0000E+00	1.0863E+00	9.0478E-01	7.5142E-01	6.2138E-01	5.1189E-01	3.3826E-01	2.1696E-01	1.3742E-01	5.1970E-02	1.9259E-02
2.7669E+00	1.7851E+00	0.0000E+00	1.1722E+00	9.7300E-01	8.1056E-01	6.6983E-01	5.4872E-01	3.6005E-01	2.3283E-01	1.4715E-01	5.6567E-02	2.0755E-02
